d_loss, g_loss
-3.5347197, 3.5376663
-2.524106, 3.330298
-1.8484399, 2.2640502
-2.8890796, 3.3974352
-3.284582, 2.558908
-1.33601, 3.2310343
0.6378235, 2.9481206
-3.4146018, 3.4968405
-2.6221368, 3.3216243
-2.8033392, 4.0216303
-0.72586596, 2.8272104
-3.2711468, 3.7681394
-2.2007995, 3.811899
-2.0151515, 2.5191293
-2.215989, 2.9300494
-1.992804, 2.8267233
-0.8655772, 3.0730019
-0.89790934, 2.8106475
-0.86616254, 2.817268
-0.2989982, 3.5979128
-1.1784807, 1.8809817
-2.1239886, 3.8393812
-1.9845958, 2.6967864
-2.907729, 3.105196
-2.9430854, 3.1435783
-2.278911, 2.7276154
-2.8231425, 3.5378575
-0.92581356, 1.5481069
-1.5917814, 3.7837656
-1.2372288, 2.6564546
-1.1376336, 1.7171934
-2.7089407, 0.9063678
-1.3938212, 3.7969363
-1.1687605, 3.2065072
-1.0534657, 2.8446245
-3.260589, 1.912571
-1.9814928, 4.0710673
-3.0642476, 1.2678452
-2.3632536, 2.0724525
0.5487577, 2.5489485
-1.6988126, 1.5129412
-0.97016966, 3.585517
-2.363271, 1.4957032
-2.007335, 3.6354685
-2.7581978, 2.9149957
0.3164363, 2.7792764
-1.6167622, 2.485209
-0.039502323, 2.7417674
-2.1104727, 2.565845
-1.1823957, 3.3293161
-1.530765, 2.5493798
-2.1076565, 3.5203257
-1.6175143, 3.4376545
-1.0401735, 3.5496078
-0.9396745, 3.5652518
-0.5407482, 3.5485744
-1.7470304, 3.3554654
-0.7950455, 2.6082726
-0.54752666, 2.2918375
-0.724659, 2.5322838
-1.1470317, 3.737414
1.2738173, 3.286232
-2.131801, 2.5605452
-2.411444, 3.5432363
-1.8087013, 2.8701653
-2.2243602, 4.135049
-2.6319745, 3.1432166
0.2224426, 3.8778162
-2.373792, 4.793023
-1.044481, 3.4656897
-3.7174816, 3.721086
-1.8545048, 3.76034
-2.0647266, 3.3531842
-1.42219, 3.1535788
-1.1619544, 3.4450228
-1.8502929, 2.2343767
-2.3971488, 3.7444787
-1.5987525, 2.7074652
-1.1889758, 3.4273734
-2.5790873, 1.6939284
-1.998082, 3.2711618
-1.021416, 4.388851
-2.5808656, 4.2639456
-2.1380405, 3.8452697
-2.064814, 4.0872626
-0.8460448, 3.7989888
-1.6193706, 2.9654896
-2.470058, 3.8995738
-3.886176, 2.943782
-3.21697, 3.8010504
-1.7951795, 2.5044818
-1.7084253, 2.527331
-1.7892826, 2.6825607
-1.7764658, 1.8856761
-1.6583081, 3.8600876
-0.70817614, 3.4918833
-0.45292383, 1.442002
-1.6845477, 1.5181099
-1.075566, 3.6187022
-1.1372964, 2.9648
-3.2960892, 2.9829526
-0.6610583, 2.6728296
-1.3724318, 2.5703735
-3.292534, 1.9099799
-0.77871865, 2.4699986
-2.09283, 2.558116
-2.9300854, 3.1042368
-0.52866405, 1.7134814
-0.029320136, 1.7632918
-2.1093633, 2.6393921
-0.6988211, 2.9819932
-0.87830573, 2.9032574
-1.9447176, 3.0653248
-1.628831, 2.964455
-0.3012843, 3.3762164
-1.6558324, 3.168375
-0.8231415, 1.9378157
-0.93891656, 1.8148351
-2.251777, 3.497583
-2.0729628, 2.354284
-2.4925926, 1.7478613
-2.723264, 1.7653677
-1.4495337, 1.762156
-3.7466307, 1.8734701
-1.660199, 2.8381946
-0.64745843, 3.3740876
-1.8806145, 2.2746456
-1.4151188, 2.6720438
-1.7487661, 2.1702332
-0.5920202, 2.5883117
-0.22515096, 3.5554185
-0.20890495, 2.2498813
-2.1702805, 2.7310114
-0.7807808, 3.3500276
-0.52089447, 2.3581111
-1.2379556, 2.9965153
-0.8663523, 2.7134457
-3.574556, 2.9682958
-2.3743799, 2.1352515
-0.4357776, 2.1281605
-3.2986908, 3.0909395
-3.11186, 2.4370532
-3.0907638, 2.3566334
-0.79033726, 3.2213848
-1.0777313, 2.5791044
-3.1991465, 1.667098
-1.4590604, 2.4429877
-1.707092, 2.5325205
-0.8595741, 2.8859289
-1.0315033, 3.126399
-0.11181991, 3.8216333
0.17586741, 2.2329745
-2.5598428, 1.5840306
0.5037219, 3.022968
-1.5504088, 2.3569036
-2.0356688, 3.5342135
-2.413271, 2.8600044
-0.60873777, 2.4681225
-2.5542178, 2.5714488
-0.7523277, 2.5001795
-0.41192478, 4.1468735
-2.2113695, 2.175384
-1.6248829, 3.7278082
-1.2118595, 2.4888067
-1.3082275, 2.8469162
-1.5580584, 2.3575747
-1.9223015, 3.773755
-2.601262, 3.3658926
-2.0609696, 3.2359655
-1.5201008, 3.4507747
-2.76609, 3.064344
-1.5159807, 2.8828635
-0.88795847, 3.9041767
-1.2016048, 2.515698
-1.8185005, 3.307337
-1.5728217, 3.0697515
-1.5160525, 3.110907
-2.0896246, 3.1737823
-0.08768055, 3.6686049
-2.4993713, 1.5752449
-0.84036416, 2.1162925
